,Product_name,Prices,Description,Rating
60,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹419,"Green, In the Ear",3.7
61,"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...","₹1,299","Mint Bubblegum, In the Ear",3.9
62,Mivi Rock Roll E5 With HD Sound Wired Headset,₹299,"Black, In the Ear",4.1
63,Aroma NB119 Care 48 Hours Playing Time Fast Charging Bl...,₹399,"Blue, In the Ear",4
64,Mivi DuoPods F60 ENC with 50+ Hrs Playtime| Made in Ind...,₹999,"Blue, True Wireless",3.8
65,"boAt Airdopes Atom 83 with 50Hrs Playback, Quad Mics EN...","₹1,699","Carbon Black, True Wireless",4
66,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹999,"Pista Green, True Wireless",4.1
67,Boult Audio ProBass Escape with Zen Tech ENC mic 10Hrs ...,₹799,"Black, In the Ear",3.8
68,"DEFY GravityZ with upto 50 Hours Playback, 4 Mic ENC, 1...","₹1,099","White Purity, In the Ear",4.1
69,Aroma NB119 Genius - 60 Hours Playtime Fast Charging Wi...,₹431,"Black, In the Ear",3.9
70,"truke Air Buds Lite with Quad Mic ENC, 10mm Driver, Ear...",₹899,"Blue, True Wireless",4
71,"truke Buds Q1 with 30H Playtime, Quad Mic ENC, Game Mod...","₹1,099","Black, True Wireless",4
72,flying india Premium TWS M90 with PowerBank Gaming Earb...,₹719,"Black, True Wireless",3.6
73,"boAt Rockerz 255 Max with 60 Hours Playback, EQ Modes &...","₹1,399","Stunning Black, In the Ear",4.3
74,boAt Bassheads 103 Black Wired Headset,₹499,"Black, In the Ear",4.2
75,Highnotes F9-5 Earbuds/TWs/buds 5.0 Earbuds with 280H P...,₹499,"Black, True Wireless",3.9
76,Aroma NB119 Neutron 60 Hours PlayTime With 4 EQ modes F...,₹580,"Blue, In the Ear",3.8
77,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,"₹1,099","Crimson Cream, True Wireless",4
78,"truke Buds S1 with Quad Mic ENC, 72 Hours Playtime, 10m...","₹1,299","Blue, True Wireless",4
79,Boult Audio ProBass XCharge with Zen Tech ENC mic 28H P...,₹799,"Black, In the Ear",3.8
